year,NAME,NAME_CLEAN,FIRMFIND,Location ,Incentive_Type ,Term ,Projected_Jobs,Projected_New_State_Tax_Revenue_Over_Term ,Projected_Capital_Investment,Projected_New_State_Wages ,Maximum_Cap_Incentive
2013,FireEye,FireEye,,Lehi/Draper,EDTIF,10,250,"$14,412,621 ","$3,000,000 ","$152,798,326 ","$3,603,155 "
2013,Blu,Blu,,Salt Lake,EDTIF,7,73,"$2,312,681 ","$6,000,000 ","$49,263,500 ","$462,536 "
2013,Solarwinds,Solarwinds,,Draper,EDTIF,20,"1,040","$109,548,587 ","$50,000,000 ","$1,436,554,953 ","$32,864,576 "
2013,"Metalcraft, dba SyberJet","Metalcraft, dba SyberJet",,Cedar City,EDTIF,20,"1,200","$127,865,080 ","$400,000,000 ","$1,028,742,210 ","$31,966,269 "
2013,MasterControl,MasterControl,,Salt Lake City,EDTIF,5,197,"$4,180,294 ","$15,000,000 ","$54,120,978 ","$836,059 "
2013,HireVue,HireVue,,Salt Lake City,EDTIF,7,540,"$10,090,489 ","$30,000,000 ","$172,876,211 ","$1,513,573 "
2013,Emery Refining Contacts,Emery Refining Contacts,,Green River,EDTIF,12,125,"$63,561,103 ","$231,885,000 ","$99,162,222 ","$12,712,221 "
2014,Tech Media Network**,Tech Media Network,PURCH,Weber,EDTIF,10,75,"$3,051,269 ","$3,400,000 ","$32,953,072 ","$610,254 "
2014,Cardon Healthcare Network,Cardon Healthcare Network,,Sandy,EDTIF/Training,15,308,"$9,151,570 ","$5,300,000 ","$215,071,341 ","$1,830,314 "
2014,ATK,ATK,,Clearfield,EDTIF/Training,20,200,"$71,025,781 ", $-   ,"$1,154,113,172 ","$19,307,734 "
2014,OOCL,OOCL,,Salt Lake City,EDTIF/Training,20,300,"$19,079,215 ","$6,800,000 ","$534,801,697 ","$4,769,804 "
2014,Indus Valley Partners,Indus Valley Partners,,Cottonwood Heights,EDTIF,11,200,"$5,362,085 ","$500,000 ","$91,909,000 ","$1,072,417 "
2014,Yosemite Meat,Yosemite Meat,,Brigham City,EDTIF,10,261,"$6,987,258 ","$35,000,000 ","$93,629,653 ","$1,397,452 "
2014,School Improvement Network,School Improvement Network,,Salt Lake City,EDTIF,10,810,"$80,299,263 ","$8,000,000 ","$753,611,307 ","$3,114,789 "
2014,Allstate Corporation,Allstate Corporation,,Ogden,EDTIF/Training/EO,20,700,"$23,214,289 ","$15,000,000 ","$610,036,250 ","$5,803,572 "
2014,Frontier Communications,Frontier Communications,,Provo,EDTIF/IAF,10,550,"$10,914,561 ","$7,000,000 ","$245,223,278 ","$2,182,912 "
2014,Exeter Finance,Exeter Finance,,Provo,EDTIF,10,550,"$11,388,221 ","$2,100,000 ","$259,944,118 ","$2,277,644 "
2014,Lin Manufacturing,Lin Manufacturing,,,EDTIF,7,150,"$1,744,798 ","$4,000,000 ","$27,697,126 ","$261,720 "
2014,Beijer Electronics,Beijer Electronics,,Salt Lake City,EDTIF,10,71,"$5,396,111 ","$600,000 ","$37,887,296 ","$1,079,222 "
2014,Varian Medical Systems,Varian Medical Systems,,Salt Lake City,EDTIF,15,705,"$35,888,285 ","$40,000,000 ","$460,416,221 ","$7,177,657 "
2014,Otto Bock,Otto Bock,,Salt Lake City,EDTIF,7,55,"$1,960,096 ","$1,000,000 ","$16,219,299 ","$392,019 "
2014,Cabelas,Cabelas,,Tooele,EDTIF,10,85,"$3,465,988 ","$66,000,000 ","$33,311,851 ","$693,198 "
2014,Jive Communications,Jive Communications,,Lehi,EDTIF,5,576,"$6,255,476 ","$6,400,000 ","$130,946,265 ","$938,321 "
2014,Environmental Stoneworks,Environmental Stoneworks,,St. George,EDTIF,10,124,"$2,571,519 ","$2,000,000 ","$40,887,535 ","$514,304 "
2014,"Houweling Nurseries Oxnard, Inc","Houweling Nurseries Oxnard, Inc",,Juab,EDTIF/IAF,20,282,"$18,160,898 ","$79,000,000 ","$267,891,772 ","$4,648,270 "
2014,Wilson Electronics,Wilson Electronics,,St. George,EDTIF,5,150,"$1,775,413 ","$2,700,000 ","$22,440,128 ","$266,312 "
2014,Pactiv**,Pactiv,,Salt Lake County,EDTIF,10,60,"$5,806,731 ","$52,000,000 ","$28,885,160 ","$871,010 "
2014,Airgas,Airgas,,Tooele,EDTIF,10,25,"$533,260 ","$8,000,000 ","$1,475,181 ","$106,652 "
2014,Oracle II,Oracle,,Lehi or SCL,EDTIF,10,351,"$11,318,408 ","$6,142,500 ","$238,959,392 ","$2,829,602 "
2015,Advice Media,Advice Media,,Park City,EDTIF,5,100," $1,385,347 "," $1,000,000 "," $17,571,355 "," $207,802 "
2015,Maritz CX,Maritz CX,,South Jordan,EDTIF,7,425," $10,270,795 "," $1,250,000 "," $268,110,000 "," $2,054,159 "
2015,American Automobile Association,American Automobile Association,,Ogden,EDTIF,7,290," $5,750,968 "," $20,000,000 "," $112,946,673 "," $862,645 "
2015,Armada Skis,Armada Skis,,Park City Utah,EDTIF,8,56," $1,774,596 "," $500,000 "," $31,718,980 "," $354,919 "
2015,Vista Outdoors,Vista Outdoors,,Clearfield,EDTIF,7,90," $6,723,802 "," $10,000,000 "," $125,160,000 "," $1,344,760 "
